material_id,formula,band_gap,energy_above_hull,is_gap_direct,regime_calc,proba_pv_calibrado
mp-546625,HoBi2BrO4,1.366499999999999,0.0,False,GGA,0.6844384248438773
mp-550111,SmBi2BrO4,1.278299999999999,0.0,False,HSE06,0.6844268950839244
mp-552992,DyBi2BrO4,1.329,0.0,False,GGA,0.684414820333761
mp-549475,TbBi2BrO4,1.2946,0.0,False,GGA,0.6843408794485111
mp-546350,TmBi2BrO4,1.360199999999999,0.0,False,GGA,0.6843267139220351
mp-546621,ErBi2BrO4,1.357,0.0,False,HSE06,0.6842830804990587
mp-553242,NdBi2BrO4,1.219899999999999,0.0,False,GGA,0.6839509414851916
mp-551900,PrBi2BrO4,1.2269,0.0,False,GGA,0.6835653548779086
mp-553243,YBi2BrO4,1.339999999999999,0.0,False,GGA,0.6831338519354218
mp-546082,TmBi2ClO4,1.4201,0.0,False,GGA,0.683025019670643
mp-545847,LuBi2BrO4,1.3984,0.0,False,GGA,0.682676213495473
mp-549127,HoBi2ClO4,1.370999999999999,0.0,False,GGA,0.682504048166924
mp-549709,ErBi2ClO4,1.3769,0.0,False,GGA,0.6823636080838504
mp-552008,DyBi2ClO4,1.3739,0.0,False,GGA,0.6821495253341967
mp-546152,SmBi2ClO4,1.217699999999999,0.0,False,GGA,0.6817977972835907
mp-547125,TbBi2ClO4,1.3439,0.0,False,HSE06,0.6817342037070773
mp-545529,NdBi2ClO4,1.1973999999999991,0.0,False,GGA,0.6812165784883739
mp-553082,PrBi2ClO4,1.1244,0.0,False,GGA,0.681015621761375
mp-552292,SmBi2IO4,1.3061,0.0,False,GGA,0.6807754626510643
mp-552738,TmBi2IO4,1.425899999999999,0.0,False,HSE06,0.6804377021313484
mp-562809,GdBi2BrO4,1.023199999999999,0.0,False,GGA,0.6799796037229062
mp-551101,HoBi2IO4,1.391099999999999,0.0,False,HSE06,0.6795657966362866
mp-551250,ErBi2IO4,1.375,0.0,False,GGA,0.6794892845171695
mp-552604,YBi2ClO4,1.3088,0.0,False,GGA,0.6794882703757791
mp-552857,TbBi2IO4,1.326699999999999,0.0,False,GGA,0.6783867486108934
mp-549333,NdBi2IO4,1.265399999999999,0.0,False,GGA,0.6779676131714106
mp-546266,DyBi2IO4,1.3667999999999991,0.0,False,GGA,0.6775569851568963
mp-545728,PrBi2IO4,1.2196999999999991,0.0,False,HSE06,0.6767285220028101
mp-550805,LuBi2ClO4,1.461799999999999,0.0,False,GGA,0.6753982561052456
mp-546672,LaBi2IO4,1.2225,0.0,False,GGA,0.6745824644140228
mp-1205991,LaBi2ClO4,1.3154,0.0,False,GGA,0.6733819021557124
mp-550635,LuBi2IO4,1.4425,0.0,False,GGA,0.6694869215307839
